Data,SI,Sudut,m,n,Status,
457,0,2.39109,3.45436, -1.#IND, FALSE, 
458,0,0.813416,4.24184, -1.#IND, FALSE, 
459,0,0.876047,5.10425, -1.#IND, FALSE, 
460,0,0.937601,6.05727, -1.#IND, FALSE, 
461,0,0.999831,7.09815, -1.#IND, FALSE, 
462,0,2.08081,8.16564, -1.#IND, FALSE, 
463,0,2.01876,9.26978, -1.#IND, FALSE, 
464,0,1.95978,10.3221, -1.#IND, FALSE, 
465,0,1.90633,11.3484, -1.#IND, FALSE, 
466,0,1.85723,12.3329, -1.#IND, FALSE, 
467,0,1.81327,13.2202, -1.#IND, FALSE, 
468,0,1.7714,14.0382, -1.#IND, FALSE, 
469,0,1.73299,14.8726, -1.#IND, FALSE, 
470,0,1.69645,15.6091, -1.#IND, FALSE, 
471,0,1.66119,16.2566, -1.#IND, FALSE, 
472,0,1.6293,16.8863, -1.#IND, FALSE, 
473,0,1.5987,17.3815, -1.#IND, FALSE, 
474,0,1.56928,17.8693, -1.#IND, FALSE, 
475,0,1.53916,18.5103, -1.#IND, FALSE, 
476,0,1.50943,18.9016, -1.#IND, FALSE, 
477,0,1.47782,19.3158, -1.#IND, FALSE, 
478,0,1.44439,19.773, -1.#IND, FALSE, 
479,0,1.41203,20.0387, -1.#IND, FALSE, 
480,0,1.37624,20.3275, -1.#IND, FALSE, 
481,0,1.3384,20.406, -1.#IND, FALSE, 
482,0,1.29441,20.2834, -1.#IND, FALSE, 
483,0,1.24706,19.7478, -1.#IND, FALSE, 
484,0,1.19272,18.8631, -1.#IND, FALSE, 
485,0,1.12821,17.6227, -1.#IND, FALSE, 
486,0,2.09158,15.8736, -1.#IND, FALSE, 
487,0,2.17822,13.6392, -1.#IND, FALSE, 
488,0,2.27321,11.0569, -1.#IND, FALSE, 
489,0,2.38984,8.11539, -1.#IND, FALSE, 
490,0,2.50845,5.45633, -1.#IND, FALSE, 
491,0,2.61074,3.54924, -1.#IND, FALSE, 
