Data,STATUS,SI,
978,TRUE,2.44378, 
979,TRUE,2.43794, 
980,TRUE,2.43089, 
981,TRUE,2.42427, 
982,TRUE,2.41642, 
983,TRUE,2.4083, 
984,TRUE,2.40101, 
985,TRUE,2.39326, 
986,TRUE,2.38609, 
987,TRUE,2.37955, 
988,TRUE,2.3731, 
989,TRUE,2.36706, 
990,TRUE,2.36195, 
991,TRUE,2.35803, 
992,TRUE,2.35503, 
993,TRUE,2.35313, 
994,TRUE,2.35179, 
995,TRUE,2.35101, 
996,TRUE,2.35089, 
997,TRUE,2.35211, 
998,TRUE,2.35527, 
999,TRUE,2.35983, 
1000,TRUE,2.36538, 
